nohup: ignoring input
Epoch:9/60 || Epochiter:9/23 || loss:0.4507||Batchtime:0.1113||ETA:0:02:12
Epoch:9/60 || Epochiter:10/23 || loss:0.4719||Batchtime:0.1022||ETA:0:02:01
Epoch:9/60 || Epochiter:11/23 || loss:0.5242||Batchtime:0.1179||ETA:0:02:19
Epoch:9/60 || Epochiter:12/23 || loss:0.4267||Batchtime:0.1456||ETA:0:02:52
Epoch:9/60 || Epochiter:13/23 || loss:0.6179||Batchtime:0.6059||ETA:0:11:57
Epoch:9/60 || Epochiter:14/23 || loss:0.5019||Batchtime:0.2513||ETA:0:04:57
Epoch:9/60 || Epochiter:15/23 || loss:0.4557||Batchtime:0.1436||ETA:0:02:49
Epoch:9/60 || Epochiter:16/23 || loss:0.4889||Batchtime:0.1490||ETA:0:02:55
Epoch:9/60 || Epochiter:17/23 || loss:0.4491||Batchtime:0.1708||ETA:0:03:21
Epoch:9/60 || Epochiter:18/23 || loss:0.4351||Batchtime:0.1392||ETA:0:02:44
Epoch:9/60 || Epochiter:19/23 || loss:0.5522||Batchtime:0.1408||ETA:0:02:45
Epoch:9/60 || Epochiter:20/23 || loss:0.4557||Batchtime:0.1398||ETA:0:02:44
Epoch:9/60 || Epochiter:21/23 || loss:0.4074||Batchtime:0.1417||ETA:0:02:46
Epoch:9/60 || Epochiter:22/23 || loss:0.5211||Batchtime:0.1358||ETA:0:02:39
Epoch:9/60 || Epochiter:23/23 || loss:0.7632||Batchtime:0.1449||ETA:0:02:50
valid_loss:0.003724985057488084,valid_access:0.8055555555555556
save weight success!!
Epoch:10/60 || Epochiter:1/23 || loss:0.4706||Batchtime:2.0566||ETA:0:40:12
Epoch:10/60 || Epochiter:2/23 || loss:0.5145||Batchtime:0.1079||ETA:0:02:06
Epoch:10/60 || Epochiter:3/23 || loss:0.4507||Batchtime:0.8590||ETA:0:16:45
Epoch:10/60 || Epochiter:4/23 || loss:0.5124||Batchtime:0.0991||ETA:0:01:55
Epoch:10/60 || Epochiter:5/23 || loss:0.4685||Batchtime:0.0999||ETA:0:01:56
Epoch:10/60 || Epochiter:6/23 || loss:0.5202||Batchtime:0.0989||ETA:0:01:55
Epoch:10/60 || Epochiter:7/23 || loss:0.3954||Batchtime:0.0991||ETA:0:01:55
Epoch:10/60 || Epochiter:8/23 || loss:0.5071||Batchtime:0.0994||ETA:0:01:55
Epoch:10/60 || Epochiter:9/23 || loss:0.5181||Batchtime:0.1009||ETA:0:01:57
Epoch:10/60 || Epochiter:10/23 || loss:0.4836||Batchtime:0.0993||ETA:0:01:55
Epoch:10/60 || Epochiter:11/23 || loss:0.4276||Batchtime:0.0978||ETA:0:01:53
Epoch:10/60 || Epochiter:12/23 || loss:0.5510||Batchtime:0.0997||ETA:0:01:55
Epoch:10/60 || Epochiter:13/23 || loss:0.4215||Batchtime:0.1716||ETA:0:03:19
Epoch:10/60 || Epochiter:14/23 || loss:0.4200||Batchtime:0.1241||ETA:0:02:23
Epoch:10/60 || Epochiter:15/23 || loss:0.4552||Batchtime:0.6512||ETA:0:12:34
Epoch:10/60 || Epochiter:16/23 || loss:0.5017||Batchtime:0.1717||ETA:0:03:18
Epoch:10/60 || Epochiter:17/23 || loss:0.4202||Batchtime:0.1402||ETA:0:02:42
Epoch:10/60 || Epochiter:18/23 || loss:0.4980||Batchtime:0.1421||ETA:0:02:44
Epoch:10/60 || Epochiter:19/23 || loss:0.4272||Batchtime:0.1377||ETA:0:02:39
Epoch:10/60 || Epochiter:20/23 || loss:0.4929||Batchtime:0.1419||ETA:0:02:43
Epoch:10/60 || Epochiter:21/23 || loss:0.5408||Batchtime:0.1499||ETA:0:02:52
